date,1,2,3,4,5,6,0
2003001,26,28,11,13,10,12,11
2003002,9,4,26,21,19,20,12
2003003,23,7,28,10,1,32,16
2003004,13,4,7,25,6,10,3
2003005,4,30,17,15,31,6,16
2003006,1,10,27,26,21,3,6
2003007,23,19,9,26,1,21,7
2003008,9,8,17,23,14,5,8
2003009,30,18,9,22,5,20,9
2003010,1,17,24,8,2,13,13
2003011,12,11,30,4,5,32,15
2003012,17,2,12,16,27,30,12
2003013,23,13,8,32,17,21,12
2003014,3,21,7,31,8,5,2
2003015,25,26,4,11,32,19,13
2003016,30,33,11,17,28,31,6
2003017,25,31,18,8,5,23,6
2003018,16,20,5,19,25,28,13
2003019,12,33,13,8,16,4,9
2003020,26,25,27,32,10,7,4
2003021,15,18,30,26,25,14,1
2003022,14,2,32,11,7,12,8
2003023,20,31,22,10,26,1,2
2003024,15,2,30,17,22,7,14
2003025,27,1,14,5,13,11,12
2003026,31,26,13,8,29,15,16
2003027,17,27,11,28,14,1,15
2003028,13,32,16,20,6,28,7
2003029,15,32,7,2,26,29,10
2003030,27,23,6,13,2,14,7
2003031,32,22,17,28,11,20,1
2003032,25,27,4,29,30,11,13
2003033,27,30,20,1,7,14,10
2003034,8,25,16,23,13,14,14
2003035,10,4,5,8,11,3,8
2003036,27,24,21,7,25,28,15
2003037,14,32,26,9,18,17,7
2003038,8,7,24,5,25,27,16
2003039,5,27,24,23,3,32,3
2003040,23,14,4,5,12,6,16
2003041,17,18,24,3,2,25,11
2003042,20,5,10,15,3,7,7
2003043,20,2,8,19,10,32,13
2003044,16,33,32,9,5,2,15
2003045,3,15,17,7,32,14,3
2003046,11,10,7,8,17,26,11
2003047,3,32,17,26,33,28,16
2003048,31,28,30,20,12,10,9
2003049,24,25,13,3,6,7,15
2003050,24,23,26,2,17,8,13
2003051,13,4,17,24,27,15,1
2003052,1,30,12,13,31,23,11
2003053,20,29,19,21,28,15,13
2003054,9,2,33,21,31,5,12
2003055,28,13,16,6,31,21,16
2003056,17,8,28,29,21,26,7
2003057,25,31,18,24,30,19,16
2003058,11,32,33,16,9,28,2
2003059,6,5,3,30,18,2,4
2003060,6,28,4,17,2,21,11
2003061,28,20,32,21,5,3,2
2003062,12,6,1,20,19,32,14
2003063,8,9,33,5,14,21,11
2003064,4,30,6,15,8,12,1
2003065,30,6,15,16,17,33,11
2003066,32,20,7,3,8,24,14
2003067,13,12,31,11,27,5,10
2003068,27,9,25,32,19,33,11
2003069,16,28,19,7,11,26,11
2003070,17,2,1,18,4,19,8
2003071,11,9,33,12,14,15,11
2003072,27,3,19,6,8,11,11
2003073,21,23,14,12,2,30,13
2003074,32,12,2,22,19,27,1
2003075,17,22,31,33,16,19,11
2003076,13,18,29,20,1,16,2
2003077,24,16,12,4,22,25,6
2003078,26,23,30,12,29,7,11
2003079,23,31,22,12,26,15,4
2003080,24,28,20,9,30,25,10
2003081,1,2,29,26,30,14,7
2003082,18,30,31,7,17,19,14
2003083,28,1,18,14,3,26,1
2003084,7,17,10,2,6,33,3
2003085,19,1,4,12,11,27,14
2003086,18,30,16,5,26,12,13
2003087,5,2,4,24,28,3,13
2003088,10,21,24,3,33,22,12
2003089,26,19,21,33,27,18,16
2004001,7,2,3,25,1,10,7
2004002,12,10,31,22,30,18,11
2004003,6,3,5,26,33,17,8
2004004,29,23,19,10,25,22,9
2004005,17,9,16,13,18,11,7
2004006,12,20,23,32,18,4,6
2004007,25,12,17,28,20,4,9
2004008,1,33,32,22,10,7,13
2004009,16,10,9,24,1,22,11
2004010,19,7,14,13,8,6,15
2004011,28,13,4,1,23,30,3
2004012,31,33,7,30,1,27,8
2004013,21,29,14,12,30,32,13
2004014,7,26,11,3,20,17,12
2004015,22,23,1,5,18,3,13
2004016,30,32,4,28,8,7,5
2004017,15,31,25,12,14,5,9
2004018,5,6,28,8,2,30,6
2004019,11,24,32,23,5,10,4
2004020,22,1,31,2,28,9,4
2004021,26,5,9,27,17,11,10
2004022,30,14,10,3,20,19,6
2004023,30,14,19,1,8,17,3
2004024,25,21,13,32,23,1,6
2004025,33,10,8,29,24,7,4
2004026,28,4,10,32,18,14,15
2004027,5,32,1,9,10,18,11
2004028,10,2,1,3,5,22,12
2004029,13,32,22,24,20,9,5
2004030,26,17,1,31,9,7,5
2004031,21,24,19,6,20,3,11
2004032,2,15,8,31,11,5,13
2004033,4,9,8,20,1,19,1
2004034,2,20,7,30,13,27,14
2004035,8,30,27,32,26,2,16
2004036,2,13,26,30,18,17,1
2004037,26,4,11,17,20,3,5
2004038,29,11,25,17,16,28,7
2004039,29,25,18,16,10,26,3
2004040,7,29,21,17,19,20,11
2004041,17,25,29,22,10,8,14
2004042,6,10,21,17,13,18,2
2004043,9,10,24,21,4,22,10
2004044,12,6,7,31,32,2,5
2004045,26,1,18,27,12,28,13
2004046,15,16,23,7,32,22,14
2004047,8,27,31,11,1,7,6
2004048,29,11,8,17,9,16,9
2004049,14,11,25,12,29,16,9
2004050,19,25,6,7,21,29,2
2004051,29,10,15,9,2,3,11
2004052,15,29,17,1,14,12,9
2004053,25,4,2,9,24,3,2
2004054,9,28,11,16,14,27,11
2004055,32,25,8,19,6,29,7
2004056,20,1,30,29,25,21,2
2004057,25,23,28,5,32,21,4
2004058,12,27,1,8,31,11,12
2004059,11,23,4,26,7,19,10
2004060,27,24,28,11,3,5,15
2004061,16,23,19,13,33,20,9
2004062,1,27,25,28,29,12,13
2004063,16,7,28,13,10,27,7
2004064,18,14,15,31,20,27,4
2004065,13,14,32,29,33,27,8
2004066,23,24,25,13,5,20,3
2004067,6,1,13,32,16,7,4
2004068,31,11,24,2,13,8,15
2004069,2,20,29,22,11,15,5
2004070,21,33,30,10,22,12,6
2004071,21,3,8,16,17,29,6
2004072,33,30,15,28,8,18,14
2004073,16,7,23,28,2,13,16
2004074,19,26,6,15,5,29,13
2004075,27,7,21,18,26,28,7
2004076,17,13,3,25,5,31,7
2004077,8,10,9,26,14,16,7
2004078,4,24,21,26,10,5,5
2004079,13,30,7,14,19,17,3
2004080,20,26,24,3,23,8,16
2004081,3,24,5,32,21,27,6
